PHRASES,MEANING,TEMIZ,,
account for FORMAL,"If you account for something, you explain how it came to be the way it is.",account for,account for,"account for | If you account for something, you explain how it came to be the way it is."
act as,to perform the same function as a particular person or thing,act as,act as,act as | to perform the same function as a particular person or thing
act for,"If you act for someone, you represent them.",act for,act for,"act for | If you act for someone, you represent them."
act on,"If you act on somebody's advice, you do as they suggest.",act on,act on,"act on | If you act on somebody's advice, you do as they suggest."
act out,"If you act out, you express your feelings through acts or words.",act out,act out,"act out | If you act out, you express your feelings through acts or words."
act up INFORMAL,"If a part of your body or a piece of equipment acts up, it doesn't work properly.",act up,act up,"act up | If a part of your body or a piece of equipment acts up, it doesn't work properly."
add to,"If something adds to something, it makes it better, greater, stronger or more extreme in some way.",add to,add to,"add to | If something adds to something, it makes it better, greater, stronger or more extreme in some way."
add up,to add two or more numbers in order to find the total amount,add up,add up,add up | to add two or more numbers in order to find the total amount
add up to,"If two or more numbers add up to another number, this is the total you get if you add them together.",add up to,add up to,"add up to | If two or more numbers add up to another number, this is the total you get if you add them together."
adhere to FORMAL,"If you adhere to a law, a rule or a contract, you obey it or follow it.",adhere to,adhere to,"adhere to | If you adhere to a law, a rule or a contract, you obey it or follow it."
advise against FORMAL,to suggest to someone that they should not do something they are thinking of doing,advise against,advise against,advise against | to suggest to someone that they should not do something they are thinking of doing
advise of FORMAL,"If you advise someone of something, you tell them about it.",advise of,advise of,"advise of | If you advise someone of something, you tell them about it."
agree with,"If a certain place or lifestyle agrees with you, it suits you and is good for you.",agree with,agree with,"agree with | If a certain place or lifestyle agrees with you, it suits you and is good for you."
aim at,"If you aim a product or a creative work at a particular group of people, you see those people as your market or your audience.",aim at,aim at,"aim at | If you aim a product or a creative work at a particular group of people, you see those people as your market or your audience."
allow for,"to consider something, or take it into account, when making plans or making a decision",allow for,allow for,"allow for | to consider something, or take it into account, when making plans or making a decision"
allude to FORMAL,to mention or refer to something or someone in an indirect way,allude to,allude to,allude to | to mention or refer to something or someone in an indirect way
amount to,"to be similar to, or to have the same effect as",amount to,amount to,"amount to | to be similar to, or to have the same effect as"
answer back,"to reply rudely to someone who is in a position of authority, such as a teacher, a parent or a coach",answer back,answer back,"answer back | to reply rudely to someone who is in a position of authority, such as a teacher, a parent or a coach"
answer for,to be held responsible for something,answer for,answer for,answer for | to be held responsible for something
appeal for,"to ask for something, usually in order to help deal with a crisis or an emergency",appeal for,appeal for,"appeal for | to ask for something, usually in order to help deal with a crisis or an emergency"
appeal to,"If something appeals to you, you like it.",appeal to,appeal to,"appeal to | If something appeals to you, you like it."
apply to,"If something applies to you, it is relevant to you or you are affected by it.",apply to,apply to,"apply to | If something applies to you, it is relevant to you or you are affected by it."
arrive at,"to reach a result, a conclusion or a decision after considering relevant factors or details",arrive at,arrive at,"arrive at | to reach a result, a conclusion or a decision after considering relevant factors or details"
ask after,"If you ask after someone, you ask about them when you talk to someone who's seen them recently.",ask after,ask after,"ask after | If you ask after someone, you ask about them when you talk to someone who's seen them recently."
ask for,to let someone know that you'd like them to give you something,ask for,ask for,ask for | to let someone know that you'd like them to give you something
ask out,"If you ask somebody out, you ask someone you like to go on a date with you.",ask out,ask out,"ask out | If you ask somebody out, you ask someone you like to go on a date with you."
ask over,"If you ask some people over, you invite them to your house.",ask over,ask over,"ask over | If you ask some people over, you invite them to your house."
associate with,"If you associate with someone, you regularly spend time with them.",associate with,associate with,"associate with | If you associate with someone, you regularly spend time with them."
attach to,to believe that something has importance or significance in relation to something else,attach to,attach to,attach to | to believe that something has importance or significance in relation to something else
attend to,to deal with something or someone,attend to,attend to,attend to | to deal with something or someone
attribute to,to believe that something results directly from a certain event or fact,attribute to,attribute to,attribute to | to believe that something results directly from a certain event or fact
auction off,to sell something to the highest bidder at an auction,auction off,auction off,auction off | to sell something to the highest bidder at an auction
average out at,to come to a certain amount on average,average out at,average out at,average out at | to come to a certain amount on average
back down,"to decide not to do something because of opposition, or because of pressure from authorities",back down,back down,"back down | to decide not to do something because of opposition, or because of pressure from authorities"
back out,"If you back out of something like an agreement or a deal, you decide not to follow through on it.",back out,back out,"back out | If you back out of something like an agreement or a deal, you decide not to follow through on it."
back up (1),"to make an extra copy of digital information on disc, flash drive, external hard drive, etc. in case the original data is lost",back up (1),back up,"back up | to make an extra copy of digital information on disc, flash drive, external hard drive, etc. in case the original data is lost"
back up (2),"If you back up what you say, you use evidence or examples to show that it's true.",back up (2),back up,"back up | If you back up what you say, you use evidence or examples to show that it's true."
bail out (1),"to help out someone or something that's in serious trouble, especially financial trouble",bail out (1),bail out,"bail out | to help out someone or something that's in serious trouble, especially financial trouble"
bail out (2),to give money to a court so that an accused person doesn't have to stay in jail until their trial begins,bail out (2),bail out,bail out | to give money to a court so that an accused person doesn't have to stay in jail until their trial begins
bank on,"If you bank on something happening or someone doing something, you depend on it or count on it.",bank on,bank on,"bank on | If you bank on something happening or someone doing something, you depend on it or count on it."
